# nConsumer,nTime,nTariffIneq,nUtilIneq
15,15,1,15
# Wholesale prices
# Time,Price
0,84
1,197
2,20
3,485
4,278
5,382
6,266
7,364
8,175
9,495
10,275
11,343
12,301
13,342
14,374
# Total load
# Consumer,MinTotal,MaxTotal
0,6440,8448
1,6410,8634
2,5582,7372
3,4084,7498
4,5764,7809
5,7841,10129
6,5183,10671
7,5574,8595
8,5734,5996
9,8493,9315
10,6764,7089
11,5902,6945
12,7538,8398
13,8363,9861
14,8103,10511
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,695,931
0,1,356,567
0,2,318,482
0,3,264,723
0,4,86,968
0,5,158,566
0,6,538,943
0,7,176,282
0,8,252,713
0,9,459,763
0,10,555,743
0,11,186,267
0,12,299,439
0,13,205,570
0,14,471,974
1,0,184,194
1,1,874,962
1,2,169,992
1,3,14,536
1,4,109,759
1,5,452,957
1,6,600,853
1,7,555,573
1,8,391,763
1,9,491,719
1,10,365,895
1,11,355,710
1,12,456,993
1,13,195,201
1,14,224,552
2,0,317,607
2,1,230,705
2,2,370,518
2,3,128,207
2,4,614,818
2,5,468,673
2,6,121,638
2,7,26,813
2,8,359,726
2,9,83,399
2,10,217,421
2,11,467,921
2,12,38,955
2,13,117,635
2,14,918,965
3,0,867,883
3,1,448,463
3,2,309,644
3,3,350,663
3,4,206,906
3,5,39,77
3,6,605,738
3,7,166,546
3,8,96,548
3,9,426,598
3,10,179,921
3,11,25,396
3,12,193,792
3,13,64,818
3,14,84,114
4,0,141,424
4,1,246,310
4,2,36,628
4,3,4,525
4,4,213,342
4,5,247,328
4,6,627,924
4,7,201,780
4,8,133,575
4,9,461,687
4,10,126,286
4,11,749,811
4,12,276,691
4,13,632,941
4,14,740,770
5,0,65,866
5,1,871,928
5,2,278,355
5,3,85,370
5,4,596,707
5,5,104,946
5,6,85,210
5,7,156,991
5,8,80,606
5,9,89,886
5,10,440,896
5,11,313,366
5,12,367,902
5,13,286,561
5,14,163,666
6,0,101,681
6,1,406,918
6,2,718,824
6,3,466,508
6,4,355,535
6,5,121,629
6,6,223,753
6,7,240,701
6,8,21,921
6,9,611,645
6,10,118,332
6,11,753,834
6,12,794,980
6,13,107,725
6,14,70,728
7,0,14,957
7,1,80,864
7,2,642,727
7,3,127,181
7,4,754,799
7,5,765,954
7,6,20,307
7,7,362,696
7,8,321,652
7,9,3,299
7,10,604,801
7,11,372,656
7,12,418,890
7,13,87,818
7,14,144,259
8,0,47,640
8,1,50,139
8,2,58,182
8,3,4,416
8,4,467,661
8,5,3,720
8,6,2,541
8,7,431,708
8,8,532,986
8,9,486,528
8,10,526,940
8,11,190,588
8,12,161,433
8,13,671,739
8,14,157,442
9,0,788,795
9,1,85,122
9,2,392,953
9,3,104,244
9,4,180,882
9,5,470,768
9,6,224,477
9,7,21,559
9,8,318,729
9,9,384,658
9,10,626,970
9,11,29,838
9,12,358,544
9,13,207,486
9,14,493,991
10,0,492,823
10,1,489,611
10,2,118,193
10,3,177,693
10,4,91,405
10,5,112,157
10,6,860,934
10,7,327,567
10,8,802,985
10,9,104,403
10,10,23,951
10,11,741,853
10,12,202,371
10,13,339,626
10,14,76,469
11,0,621,966
11,1,408,532
11,2,147,710
11,3,62,754
11,4,145,568
11,5,242,260
11,6,299,894
11,7,919,923
11,8,49,658
11,9,457,591
11,10,69,514
11,11,171,455
11,12,193,883
11,13,856,972
11,14,191,199
12,0,402,918
12,1,890,898
12,2,64,561
12,3,9,373
12,4,256,547
12,5,811,857
12,6,227,924
12,7,49,275
12,8,404,622
12,9,56,668
12,10,51,354
12,11,188,795
12,12,6,802
12,13,113,900
12,14,95,629
13,0,284,410
13,1,841,899
13,2,697,805
13,3,620,781
13,4,621,663
13,5,39,628
13,6,549,766
13,7,371,890
13,8,300,385
13,9,362,874
13,10,910,928
13,11,32,281
13,12,17,645
13,13,453,489
13,14,280,678
14,0,186,499
14,1,261,972
14,2,706,783
14,3,1,888
14,4,81,803
14,5,436,728
14,6,1,666
14,7,570,943
14,8,234,662
14,9,75,979
14,10,367,943
14,11,239,375
14,12,212,349
14,13,37,742
14,14,304,386
# Tariff
# Time,MinTariff,MaxTariff
0,751,986
1,382,903
2,223,405
3,629,778
4,395,882
5,280,771
6,725,815
7,456,916
8,72,494
9,412,677
10,604,731
11,8,135
12,83,438
13,303,971
