# nConsumer,nTime,nTariffIneq,nUtilIneq
15,5,1,1
# Wholesale prices
# Time,Price
0,419
1,451
2,36
3,41
4,388
# Total load
# Consumer,MinTotal,MaxTotal
0,2541,3346
1,3388,3886
2,2039,2716
3,3405,4291
4,2681,2978
5,898,1706
6,2142,2885
7,1554,3138
8,2211,2710
9,2092,3110
10,1575,3118
11,2323,2794
12,2815,3598
13,1868,2842
14,2530,3161
# Load per period
# Consumer,Time,MinLoad,MaxLoad
0,0,47,255
0,1,768,893
0,2,76,596
0,3,14,874
0,4,552,791
1,0,236,239
1,1,897,966
1,2,847,910
1,3,920,973
1,4,519,771
2,0,134,289
2,1,601,681
2,2,189,898
2,3,295,526
2,4,95,503
3,0,587,676
3,1,930,945
3,2,101,882
3,3,644,992
3,4,801,827
4,0,702,712
4,1,341,605
4,2,94,960
4,3,689,969
4,4,8,138
5,0,134,893
5,1,52,160
5,2,130,745
5,3,99,398
5,4,8,422
6,0,191,343
6,1,78,581
6,2,617,897
6,3,191,917
6,4,422,435
7,0,115,894
7,1,390,791
7,2,199,670
7,3,225,602
7,4,216,768
8,0,16,89
8,1,366,593
8,2,700,716
8,3,634,736
8,4,83,800
9,0,238,906
9,1,669,766
9,2,7,361
9,3,670,725
9,4,302,545
10,0,118,749
10,1,132,570
10,2,230,642
10,3,680,834
10,4,318,661
11,0,434,859
11,1,653,760
11,2,449,648
11,3,215,747
11,4,158,291
12,0,342,448
12,1,200,509
12,2,156,824
12,3,12,850
12,4,374,884
13,0,98,582
13,1,591,813
13,2,863,935
13,3,145,687
13,4,95,816
14,0,69,597
14,1,125,694
14,2,115,754
14,3,712,993
14,4,134,242
# Tariff
# Time,MinTariff,MaxTariff
0,620,640
1,61,449
2,49,504
3,372,871
4,367,687
#Utilities
# Consumer,Time,MinUtil,MaxUtil
0,0,23,559
0,1,7,658
0,2,244,547
0,3,3,731
0,4,736,972
1,0,523,572
1,1,404,838
1,2,365,524
1,3,537,868
1,4,4,932
2,0,755,942
2,1,521,854
2,2,533,927
2,3,174,429
2,4,318,735
3,0,276,605
3,1,60,421
3,2,181,438
3,3,415,612
3,4,839,869
4,0,46,471
4,1,104,567
4,2,455,732
4,3,191,334
4,4,840,891
5,0,383,825
5,1,554,617
5,2,191,442
5,3,538,849
5,4,450,546
6,0,680,745
6,1,768,915
6,2,631,722
6,3,551,585
6,4,247,588
7,0,790,875
7,1,587,713
7,2,131,762
7,3,340,723
7,4,28,525
8,0,208,815
8,1,485,885
8,2,62,819
8,3,140,827
8,4,77,174
9,0,584,623
9,1,410,604
9,2,811,935
9,3,64,574
9,4,302,358
10,0,560,828
10,1,44,839
10,2,538,934
10,3,253,255
10,4,439,473
11,0,167,506
11,1,9,133
11,2,603,994
11,3,251,417
11,4,576,816
12,0,63,614
12,1,301,400
12,2,263,427
12,3,691,776
12,4,257,433
13,0,250,849
13,1,398,891
13,2,531,595
13,3,288,845
13,4,226,399
14,0,474,963
14,1,621,902
14,2,94,170
14,3,259,969
14,4,651,863
# Tariff inequalities: SUM(coeff_t * tariff_t) <= const
# TariffIneqID,Constant,Coeff0,Coeff1,...,Coeff_nTime-1
0,7916,1,6,7,1,3
# Utility inequalities: SUM(coeff_it * util_it) <= const
# UtilityIneqID,Constant,Coeff_C0T0,Coeff_C0T1,...Coeff_C0T(nTime-1),Coeff_C1T0,Coeff_C1T1,...
0,264709,10,8,0,10,5,9,4,3,1,10,9,3,6,9,1,0,10,7,5,9,6,8,6,0,10,3,0,6,9,3,7,1,3,0,0,8,8,1,9,3,7,7,9,1,6,9,10,10,0,7,0,10,1,4,10,1,6,3,8,7,10,0,5,9,7,2,9,7,7,1,5,0,5,6,8
